Timestamp,Latitude,Longitude
1641503778_367529600,41.683101666666666,-72.69112483333333
1641503779_370164576,41.6831025,-72.69112433333333
1641503780_371472192,41.6831025,-72.691125
1641503781_372516032,41.68310216666667,-72.69112566666666
1641503782_374423904,41.683101666666666,-72.69112650000001
1641503783_379199680,41.6831005,-72.69112533333333
1641503784_380831264,41.6830995,-72.69112416666667
1641503785_382664096,41.68309850000001,-72.69112383333332
1641503786_384471200,41.68309666666667,-72.69112433333333
1641503787_386487904,41.68309533333333,-72.69112449999999
1641503788_387807936,41.68309516666667,-72.69112566666666
1641503789_389863616,41.68309583333333,-72.69112466666667
1641503790_391504544,41.68309633333333,-72.69112783333334
1641503791_393472896,41.68309616666667,-72.69112616666666
1641503792_401617312,41.683095,-72.69112616666666
1641503793_416320800,41.68309366666667,-72.69112799999999
1641503794_417929440,41.68308933333333,-72.69112816666667
1641503795_419472288,41.683063833333335,-72.6911215
1641503796_421460256,41.68301666666666,-72.69111333333333
1641503797_422489792,41.68295566666667,-72.69109933333334
1641503798_424466144,41.68288333333333,-72.69108133333334
1641503799_425838336,41.6828,-72.69105916666668
1641503800_427499040,41.68270466666666,-72.69103583333334
1641503801_428537344,41.68259750000001,-72.69101366666668
1641503802_430570944,41.682480500000004,-72.69098883333332
1641503803_432431904,41.68235716666666,-72.69096516666667
1641503804_436103776,41.68222933333333,-72.690936
1641503805_437590112,41.68209749999999,-72.69091466666667
1641503806_439529888,41.68196316666668,-72.69088083333332
1641503807_441449504,41.68182449999999,-72.69084883333333
1641503808_442875552,41.681682,-72.69082033333333
1641503809_444576800,41.68153566666667,-72.690796
1641503810_446469824,41.68138999999999,-72.69076566666666
1641503811_448488512,41.68124250000001,-72.69073
1641503812_449475328,41.681091833333326,-72.69069800000001
1641503813_451813792,41.68093983333333,-72.69066633333334
1641503814_453115168,41.68079250000001,-72.69063283333334
1641503815_455731456,41.68064616666667,-72.69059316666667
1641503816_457471200,41.68050233333334,-72.69055633333333
1641503817_458538432,41.68035433333333,-72.69052233333333
1641503818_460505888,41.6801955,-72.69048649999999
1641503819_462463872,41.68003333333333,-72.69045616666668
1641503820_464474240,41.67986916666667,-72.69041933333332
1641503821_465612288,41.67969916666666,-72.69038333333333
1641503822_467472544,41.67952700000001,-72.69034683333332
1641503823_469248416,41.67934816666666,-72.69030733333334
1641503824_470467488,41.67917416666666,-72.690277
1641503825_471455296,41.67917416666666,-72.690277
1641503826_473449952,41.678823166666675,-72.69019316666666
1641503827_474452160,41.67864533333333,-72.69014783333334
1641503828_475455936,41.678467,-72.69010316666666
1641503829_476469536,41.67828266666667,-72.69006366666667
1641503830_477956736,41.678096000000004,-72.69002433333334
1641503831_479596640,41.677906666666665,-72.68997866666668
1641503832_481454528,41.67772033333334,-72.6899365
1641503833_483471872,41.67753533333333,-72.68989333333334
1641503834_484480320,41.67735033333334,-72.6898545
1641503835_486484032,41.677163500000006,-72.689815
1641503836_487856000,41.677163500000006,-72.689815
1641503837_489762272,41.6767895,-72.68974016666667
1641503838_492274880,41.6766015,-72.68969966666667
1641503839_493521024,41.67641516666666,-72.68965633333333
1641503840_495474528,41.67622333333334,-72.6896115
1641503841_520862368,41.6760345,-72.68956666666666
1641503842_522696800,41.67584566666666,-72.68953066666667
1641503843_525691360,41.675661833333336,-72.68948916666666
1641503844_527521728,41.675477,-72.689449
1641503845_528598464,41.675284833333336,-72.68940616666667
1641503846_530626336,41.67509766666667,-72.68936416666666
1641503847_532476448,41.67491166666667,-72.689327
1641503848_535822080,41.67472933333333,-72.68929016666667
1641503849_537501792,41.67455383333333,-72.6892575
1641503850_539520320,41.67438716666667,-72.68922599999999
1641503851_541431232,41.67423133333333,-72.6892
1641503852_542470752,41.67408766666667,-72.68916466666666
1641503853_544513536,41.67396416666667,-72.68914016666666
1641503854_545549024,41.673857833333344,-72.68912133333333
1641503855_547482752,41.67377216666667,-72.6891075
1641503856_549499840,41.67370916666667,-72.68909183333334
1641503857_551454016,41.673660500000004,-72.68907899999999
1641503858_552479680,41.67363433333333,-72.68907066666667
1641503859_553596864,41.67360866666666,-72.689065
1641503860_555538720,41.673564000000006,-72.68905616666666
1641503861_556542080,41.67349333333333,-72.68904183333333
1641503862_558455680,41.67340533333333,-72.68902150000001
1641503863_559504384,41.673304333333334,-72.68899883333333
1641503864_561533568,41.673190999999996,-72.68897233333334
1641503865_563488544,41.67306683333333,-72.6889415
1641503866_564530368,41.672934500000004,-72.688907
1641503867_566461920,41.67278966666666,-72.688873
1641503868_567482112,41.672643333333326,-72.68883866666667
1641503869_568500032,41.67248983333334,-72.6888075
1641503870_570466624,41.67233533333333,-72.68877049999999
1641503871_571890208,41.67217966666667,-72.68873733333334
1641503872_573471264,41.67202316666667,-72.68870100000001
1641503873_574512256,41.67186566666666,-72.68866299999999
1641503874_576459872,41.67171216666667,-72.68862349999999
